19.5 to the nearest whole number ,20,19,19.5,19.4,19.6
19.49 to the nearest whole number,19,20,19.5,19.4,19.6
44 to the nearest 10 ,40,50,41,45,49
45 to the nearest 10,50,40,45,44,46
999 to the nearest 10,1000,990,999,900,1100
999 to the nearest 100,1000,990,999,900,1100
19 2/5 to the nearest whole number,19,20,21,25,19.4
19 4/5 to the nearest whole number,20,19,21,25,19.4
$17.55 to the nearest pound,$18,$17,$17.60,$17.50,$20
$17.45 to the nearest pound,$17,$18,$17.60,$17.50,$20
7cm 4mm to the nearest cm,7cm,10cm,8cm,7.5com,7.4cm
8m 57cm to the nearest m,9m,8m,7m,8.5m,8.6m
15.3km to the nearest km,15km,16km,20km,10km,15.4km
15 1/3 km to the nearest km,15km,16km,20km,10km,15.4km
15.5km to the nearest km,16km,15km,20km,10km,15.4km
6kg 499g to the nearest kg,6kg,7kg,5kg,6.5kg,6.4kg
6kg 499g to the nearest 1/2kg,6.5kg,6kg,7kg,6.4kg,6.6kg
6kg 760g to the nearest 1/2kg,7kg,6kg,6.5kg,5kg,5.5kg
7 litres 600ml to the nearest litre,8 litres , 7litres ,9 litres , 7.5 litres ,7.6 litres