20 * 10 = ,200,2000,20,5000,1000
15 * 11 =,165,160,155,161,162
18 * 5 = ,90,95,900,180,125
14 * 7 = ,98,97,103,102,99
17 * 11 = ,187,189,177,171,181
5 * 25 = ,125,125,130,155,175
20 * 7 = ,140,410,170,74,144
40 * 5  = ,200,400,240,280,20
12  * 15 = ,180,200,300,160,165
9 * 20 = ,180,200,270,178,199
12 * 13 = ,156,144,154,160,162
19 * 9 = ,171,170,169,172,190
12 * 30 = ,360,240,720,400,366
15 * 8  =,120,130,140,150,110
15 * 6 = ,90,100,80,85,95
25 * 6 = ,150,175,125,200,156
25 * 7 = ,175,150,125,200,149
20 * 8  = ,160,150,140,120,180
60 * 3 = ,180,160,240,183,210
40 * 6  = ,240,220,210,280,300
40 * 7 = ,280,2800,700,7400,200
50 * 7 = ,350,3500,2836,335,355